Date ,Day of the Week,Clipper Tags,Fare App Activations,Onboard Count,Bicycles,Wheelchairs,Notes About Day
6/5/2018,Tuesday,2012,281,2444,326,4,N/A
6/6/2018,Wednesday,2051,293,2527,299,9,N/A
6/7/2018,Thursday,1969,281,2439,306,3,N/A
6/8/2018,Friday,1863,304,2431,285,14,N/A
6/9/2018,Saturday,667,290,1136,67,4,N/A
6/10/2018,Sunday,745,362,1221,43,7,N/A
6/11/2018,Monday,1877,231,2367,311,11,N/A
6/12/2018,Tuesday,2010,178,2364,326,6,N/A
6/13/2018,Wednesday,2099,258,2572,331,5,N/A
6/14/2018,Thursday,1993,255,2538,261,15,N/A
6/15/2018,Friday,1933,382,2641,265,21,N/A
6/16/2018,Saturday,690,332,1110,69,5,N/A
6/17/2018,Sunday,782,562,1528,58,3,N/A
6/18/2018,Monday,1859,261,2386,260,4,N/A
6/19/2018,Tuesday,1990,324,2534,309,14,N/A
6/20/2018,Wednesday,2113,287,2660,309,9,N/A
6/21/2018,Thursday,2022,286,2449,292,10,N/A
6/22/2018,Friday,1828,379,2401,226,5,N/A
6/23/2018,Saturday,485,258,812,56,3,N/A
6/24/2018,Sunday,616,332,1083,49,5,N/A
6/25/2018,Monday,1878,246,2271,258,16,N/A
6/26/2018,Tuesday,1993,269,2636,331,10,N/A
6/27/2018,Wednesday,2033,358,2620,285,14,N/A
6/28/2018,Thursday,2074,364,2739,321,6,N/A
6/29/2018,Friday,1861,381,2480,265,10,N/A
6/30/2018,Saturday,582,311,1022,40,2,N/A
7/1/2018,Sunday,678,281,1006,49,8,N/A
7/2/2018,Monday,1919,335,2502,279,9,N/A
7/3/2018,Tuesday,1969,416,2619,258,14,N/A
7/4/2018,Wednesday,644,293,1060,68,9,Holiday
7/5/2018,Thursday,1812,291,2260,241,13,N/A
7/6/2018,Friday,1852,383,2488,278,19,N/A
7/7/2018,Saturday,680,287,1162,60,9,N/A
7/8/2018,Sunday,646,295,1015,57,6,N/A
7/9/2018,Monday,1801,287,2267,269,7,N/A
7/10/2018,Tuesday,1956,264,2333,285,6,N/A
7/11/2018,Wednesday,1985,294,2523,272,12,N/A
7/12/2018,Thursday,2040,349,2577,292,12,N/A
7/13/2018,Friday,1820,319,2473,260,9,N/A
7/14/2018,Saturday,868,471,1425,62,6,N/A
7/15/2018,Sunday,557,336,908,63,2,N/A
7/16/2018,Monday,1891,293,2441,266,17,N/A
7/17/2018,Tuesday,2003,282,2503,280,5,N/A
7/18/2018,Wednesday,2096,421,2711,340,8,N/A
7/19/2018,Thursday,2026,289,2527,294,11,N/A
7/20/2018,Friday,2007,422,2716,256,5,N/A
7/21/2018,Saturday,697,334,1231,68,4,N/A
7/22/2018,Sunday,542,395,1059,54,0,N/A
7/23/2018,Monday,1903,280,2378,294,4,N/A
7/24/2018,Tuesday,2012,339,2606,314,28,N/A
7/25/2018,Wednesday,2117,311,2711,310,6,N/A
7/26/2018,Thursday,2134,307,2679,316,11,N/A
7/27/2018,Friday,1980,327,2588,257,9,N/A
7/28/2018,Saturday,674,268,1075,60,8,N/A
7/29/2018,Sunday,566,340,1071,63,1,N/A
7/30/2018,Monday,1853,225,2378,270,7,N/A
7/31/2018,Tuesday,2022,330,2572,308,9,N/A
8/1/2018,Wednesday,2100,295,2686,298,10,N/A
8/2/2018,Thursday,2036,325,2662,301,12,N/A
8/3/2018,Friday,1926,369,2609,263,9,N/A
8/4/2018,Saturday,590,315,1008,55,3,N/A
8/5/2018,Sunday,524,262,855,41,3,N/A
8/6/2018,Monday,1919,281,2370,298,12,N/A
8/7/2018,Tuesday,2083,339,2603,293,3,N/A
8/8/2018,Wednesday,2019,354,2639,295,17,N/A
8/9/2018,Thursday,2175,351,2743,320,7,N/A
8/10/2018,Friday,1811,430,2511,254,4,N/A
8/11/2018,Saturday,684,384,1187,71,7,N/A
8/12/2018,Sunday,519,227,818,59,3,N/A
8/13/2018,Monday,1580,251,1791,208,23,Train Trips Annulled
8/14/2018,Tuesday,2077,267,2584,286,10,N/A
8/15/2018,Wednesday,2127,333,2671,332,11,N/A
8/16/2018,Thursday,2056,267,2597,297,11,N/A
8/17/2018,Friday,2020,327,2595,296,15,N/A
8/18/2018,Saturday,3,32,4735,80,6,Free Service
8/19/2018,Sunday,3,45,4186,102,22,Free Service
8/20/2018,Monday,2090,286,2578,339,11,N/A
8/21/2018,Tuesday,2213,292,2764,410,15,N/A
8/22/2018,Wednesday,2292,253,2710,362,12,N/A
8/23/2018,Thursday,2176,227,2678,346,10,N/A
8/24/2018,Friday,1869,370,2528,263,16,N/A
8/25/2018,Saturday,793,282,1171,86,5,N/A
8/26/2018,Sunday,600,296,1001,58,4,N/A
8/27/2018,Monday,2095,250,2542,359,11,N/A
8/28/2018,Tuesday,2241,277,2718,343,4,N/A
8/29/2018,Wednesday,2233,324,2667,384,7,N/A
8/30/2018,Thursday,2314,204,2672,329,10,Train Trips Annulled
8/31/2018,Friday,1997,361,2505,344,7,N/A
9/1/2018,Saturday,845,294,1340,58,1,N/A
9/2/2018,Sunday,663,415,1252,55,14,N/A
9/3/2018,Monday,671,348,1127,89,3,Holiday
9/4/2018,Tuesday,2112,176,2456,340,12,N/A
9/5/2018,Wednesday,2264,213,2685,406,17,N/A
9/6/2018,Thursday,2296,247,2690,341,10,N/A
9/7/2018,Friday,2204,305,2718,323,5,N/A
9/8/2018,Saturday,925,415,1663,68,7,N/A
9/9/2018,Sunday,532,273,928,65,1,N/A
9/10/2018,Monday,2244,322,2632,334,17,N/A
9/11/2018,Tuesday,2268,229,2636,384,12,N/A
9/12/2018,Wednesday,2334,266,2742,348,7,N/A
9/13/2018,Thursday,2250,265,2684,325,15,N/A
9/14/2018,Friday,2100,388,2611,304,10,N/A
9/15/2018,Saturday,789,372,1310,58,14,N/A
9/16/2018,Sunday,509,258,858,46,2,N/A
9/17/2018,Monday,2132,247,2551,343,11,N/A
9/18/2018,Tuesday,2329,303,2840,390,12,N/A
9/19/2018,Wednesday,2244,247,2735,317,9,N/A
9/20/2018,Thursday,2215,223,2588,321,6,N/A
9/21/2018,Friday,2159,284,2665,340,4,N/A
9/22/2018,Saturday,648,253,1003,75,3,N/A
9/23/2018,Sunday,586,236,857,69,6,N/A
9/24/2018,Monday,2134,245,2520,329,11,N/A
9/25/2018,Tuesday,2230,209,2660,348,6,N/A
9/26/2018,Wednesday,2119,218,2513,369,9,N/A
9/27/2018,Thursday,2230,222,2712,353,7,N/A
9/28/2018,Friday,2088,288,2601,335,10,N/A
9/29/2018,Saturday,535,322,937,53,1,N/A
9/30/2018,Sunday,473,246,800,63,5,N/A
10/1/2018,Monday,2106,176,2451,298,10,N/A
10/2/2018,Tuesday,2039,278,2399,182,7,N/A
10/3/2018,Wednesday,2232,231,2880,283,6,N/A
10/4/2018,Thursday,2248,246,2619,322,6,N/A
10/5/2018,Friday,2064,335,2618,315,12,N/A
10/6/2018,Saturday,569,243,919,50,3,N/A
10/7/2018,Sunday,553,257,978,90,1,N/A
10/8/2018,Monday,1975,246,2504,280,14,Columbus Day
10/9/2018,Tuesday,2222,231,2602,421,9,N/A
10/10/2018,Wednesday,2242,268,2662,323,16,N/A
10/11/2018,Thursday,2209,234,2547,331,10,N/A
10/12/2018,Friday,2050,341,2565,275,13,N/A
10/13/2018,Saturday,648,283,1062,81,6,N/A
10/14/2018,Sunday,598,200,860,64,4,N/A
10/15/2018,Monday,2128,225,2507,279,11,N/A
10/16/2018,Tuesday,2261,233,2654,335,11,N/A
10/17/2018,Wednesday,2178,217,2516,336,10,N/A
10/18/2018,Thursday,2121,236,2540,334,9,N/A
10/19/2018,Friday,1924,319,2447,314,9,N/A
10/20/2018,Saturday,590,291,1030,55,2,N/A
10/21/2018,Sunday,501,160,774,45,1,N/A
10/22/2018,Monday,2005,237,2398,305,8,N/A
10/23/2018,Tuesday,2146,218,2375,312,15,N/A
10/24/2018,Wednesday,2154,198,2525,321,12,N/A
10/25/2018,Thursday,2422,228,2710,327,12,N/A
10/26/2018,Friday,2005,259,2452,270,17,N/A
10/27/2018,Saturday,575,230,901,47,5,N/A
10/28/2018,Sunday,474,168,657,39,2,N/A
10/29/2018,Monday,2072,187,2451,299,16,N/A
10/30/2018,Tuesday,2289,209,2517,331,6,N/A
10/31/2018,Wednesday,2089,177,2372,275,10,Halloween
11/1/2018,Thursday,2116,231,2438,275,10,N/A
11/2/2018,Friday,2041,353,2547,271,4,N/A
11/3/2018,Saturday,505,263,890,66,3,Fire in Santa Rosa Near Tracks
11/4/2018,Sunday,496,203,817,68,1,N/A
11/5/2018,Monday,2125,231,2499,314,13,N/A
11/6/2018,Tuesday,2255,221,2546,304,5,N/A
11/7/2018,Wednesday,2238,279,2610,320,9,N/A
11/8/2018,Thursday,2191,248,2601,299,11,N/A
11/9/2018,Friday,1705,237,2179,204,10,N/A
11/10/2018,Saturday,453,230,752,32,1,N/A
11/11/2018,Sunday,422,188,783,31,7,N/A
11/12/2018,Monday,1366,292,1791,146,5,Veteran's Day (Regular Service)
11/13/2018,Tuesday,1850,217,2158,226,11,N/A
11/14/2018,Wednesday,2102,229,2501,258,6,N/A
11/15/2018,Thursday,2068,253,2525,228,4,N/A
11/16/2018,Friday,1081,166,1267,73,3,Train Trips Annulled
11/17/2018,Saturday,356,191,613,29,3,N/A
11/18/2018,Sunday,353,164,595,25,1,N/A
11/19/2018,Monday,1508,235,1919,163,8,N/A
11/20/2018,Tuesday,1740,237,2152,190,2,N/A
11/21/2018,Wednesday,1438,221,1826,105,4,Day before Thanksgiving
11/22/2018,Thursday,252,57,330,11,2,Holiday
11/23/2018,Friday,415,206,632,15,1,Holiday
11/24/2018,Saturday,477,301,921,31,4,N/A
11/25/2018,Sunday,402,252,743,47,3,N/A
11/26/2018,Monday,2009,210,2314,242,16,N/A
11/27/2018,Tuesday,2059,211,2462,208,5,N/A
11/28/2018,Wednesday,2064,216,2506,197,7,Storm
11/29/2018,Thursday,1889,222,2300,145,2,N/A
11/30/2018,Friday,1942,364,2557,240,11,N/A
12/1/2018,Saturday,407,195,729,29,6,N/A
12/2/2018,Sunday,386,113,541,28,2,N/A
12/3/2018,Monday,2020,190,2353,212,7,N/A
12/4/2018,Tuesday,2041,212,2245,209,9,N/A
12/5/2018,Wednesday,1980,211,2261,157,5,N/A
12/6/2018,Thursday,2078,378,2612,214,4,N/A
12/7/2018,Friday,1972,309,2360,204,5,N/A
12/8/2018,Saturday,592,237,1116,40,2,Holiday Express Train
12/9/2018,Sunday,366,233,709,30,2,N/A
12/10/2018,Monday,1939,224,2369,233,6,N/A
